Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-02.02895     7.47919   50.969927 -123.744689   -0.537    0.126  1
RGI60-02.00366     7.35626   49.945990 -122.921121   -0.147    0.118  1
RGI60-02.06075     7.34836   51.954831 -126.349324   -0.319    0.124  1
RGI60-02.03575     7.33083   51.180777 -124.796970   -0.795    0.151  1
RGI60-02.01124     7.32208   50.406220 -116.787824   -0.158    0.156  1
RGI60-02.09229     7.30892   53.195595 -119.189246   -0.486    0.133  1
RGI60-02.11421     7.29717   55.903824 -127.412887   -0.429    0.137  1
RGI60-02.09431     7.28797   53.268885 -128.266793   -2.119    0.268  1
RGI60-02.06797     7.28321   52.194974 -118.806187   -0.256    0.133  1
RGI60-02.06473     7.27629   52.049609 -126.287612   -0.412    0.128  1
RGI60-02.03068     7.26728   51.051505 -117.329994   -0.202    0.141  1
RGI60-02.06469     7.24104   51.812371 -125.966437   -0.257    0.120  1
RGI60-02.08792     7.22552   53.032932 -126.619198   -0.684    0.153  1
RGI60-02.06145     7.20720   51.974978 -117.124459   -0.516    0.151  1
RGI60-02.00677     7.19870   50.149807 -123.299916   -0.363    0.124  1
RGI60-02.13690     7.18625   62.058609 -127.836341   -0.686    0.143  1
RGI60-02.06480     7.18041   51.803416 -126.072150   -0.327    0.125  1
RGI60-02.02605     7.15213   50.801468 -123.822695   -0.884    0.144  1
RGI60-02.01015     7.10162   50.333080 -123.683444   -0.189    0.124  1
RGI60-02.00556     7.07686   50.092077 -121.991622   -0.440    0.140  1
RGI60-02.07283     7.06807   52.371903 -118.981053   -0.131    0.130  1
RGI60-02.03400     7.05086   51.130865 -125.883364   -0.899    0.158  1
RGI60-02.02604     7.04925   50.843509 -123.901112   -0.526    0.127  1
RGI60-02.02380     7.03890   50.720711 -124.555488   -0.189    0.129  1
RGI60-02.08510     7.03469   52.930318 -120.238793   -0.475    0.141  1
RGI60-02.11834     7.00560   57.387570 -124.115617   -0.462    0.128  1
RGI60-02.12155     7.00090   58.151999 -124.950147   -0.537    0.200  1
RGI60-02.03323     6.97172   51.106609 -117.363599   -0.233    0.141  1
RGI60-02.07234     6.96942   52.391866 -118.116635   -0.156    0.141  1
RGI60-02.03548     6.90068   51.212075 -125.845763   -0.763    0.151  1
RGI60-02.01316     6.89417   50.358794 -123.456042   -0.509    0.127  1
RGI60-02.02550     6.85844   50.909319 -124.234953   -0.391    0.137  1
RGI60-02.08518     6.85714   52.929875 -120.143112   -0.377    0.133  1
RGI60-02.10866     6.83542   54.440326 -127.715709   -0.668    0.139  1
RGI60-02.17736     6.82941   48.784220 -121.850349   -0.333    0.124  1
RGI60-02.05140     6.81948   51.376790 -126.125199   -0.576    0.131  1
RGI60-02.04385     6.81780   51.348657 -125.453931   -0.037    0.115  1
RGI60-02.07168     6.79031   52.332276 -119.020293   -0.243    0.131  1
RGI60-02.09074     6.78556   53.148666 -119.368732   -0.530    0.135  1
RGI60-02.02427     6.76114   50.809331 -124.230021   -0.181    0.132  1
RGI60-02.18094     6.75637   48.505570 -121.026977   -0.106    0.115  1
RGI60-02.07000     6.74640   52.219353 -117.976339   -1.209    0.184  1
RGI60-02.03793     6.72932   51.273781 -118.530490   -0.885    0.167  1
RGI60-02.00343     6.71553   49.909259 -122.895884   -0.265    0.132  1
RGI60-02.11992     6.70434   57.888360 -124.711521   -0.977    0.155  1
RGI60-02.13287     6.69393   63.424753 -130.279597   -0.689    0.154  1
RGI60-02.02616     6.66871   50.773062 -123.553387   -0.713    0.141  1
RGI60-02.01146     6.65494   50.410460 -123.858384   -0.322    0.123  1
RGI60-02.05339     6.64334   51.709784 -125.710586   -0.675    0.147  1
RGI60-02.09758     6.63901   53.453373 -127.544870   -1.080    0.164  1
RGI60-02.02403     6.63852   50.699746 -124.134796   -0.352    0.137  1
RGI60-02.06155     6.62770   51.951007 -117.071888   -0.377    0.145  1
RGI60-02.03594     6.60035   51.018444 -124.677986   -1.104    0.174  1
RGI60-02.10613     6.58862   54.193183 -129.005416   -0.465    0.143  1
RGI60-02.12439     6.58583   52.129516 -117.422815   -0.149    0.184  1
RGI60-02.09380     6.57107   53.258934 -119.705057   -0.531    0.134  1
RGI60-02.00552     6.56684   50.089796 -121.936664   -0.407    0.129  1
RGI60-02.05928     6.56571   51.885101 -126.888407   -0.271    0.124  1
